url,twitterUrl,id,text,retweetCount,replyCount,likeCount,quoteCount,createdAt,bookmarkCount,isRetweet,isQuote
https://x.com/Gxxzi/status/1987582511455572351,https://twitter.com/Gxxzi/status/1987582511455572351,1987582511455572351,"كلب سئم من نباح كلب صغير وقام رمية في حمام السباحة
https://t.co/IHFez7n4lX",19,2,92,0,Sun Nov 09 18:06:12 +0000 2025,29,False,True
https://x.com/Asem_a/status/1987570973743128746,https://twitter.com/Asem_a/status/1987570973743128746,1987570973743128746,"يا ابن الحمير انا ما غلطت عليك ولا سبيتك لكن الي متربي في زريبة ما يعرف غير هذا الاسلوب.

اختلاف جينات مين يا حيوان انت؟ العرب جيناتهم واصلهم ثابت وضارب في جذور الجزيرة العربية، الواحد فينا يعرف نسبه الى سيدنا ادم وانت تقولي علم جينات؟ ليتك انت الي فاهم علم الجينات، كان فهمت ان جيناتكم انتم المخبوصة من كثر الاحتلالات من هكسوس لاشوريين، للفرس، لإغريق، لرومان، لفرنسيين لعرب، لانجليز، لعثمانيين وبعد هذا تقولي جيناتكم ثابتة؟ انت عبيط يا اهبل؟؟ طس بس لعن الله ذا الوجه",0,0,0,0,Sun Nov 09 17:20:22 +0000 2025,0,False,True
https://x.com/FaisalIdri61604/status/1987567891080749301,https://twitter.com/FaisalIdri61604/status/1987567891080749301,1987567891080749301,"بعد فضيحة سرقة لوحاتها .. الفنانة الدنماركية ليزا نيلسن تصل مصر . 

 https://t.co/O8uOlaqazh",0,0,0,0,Sun Nov 09 17:08:07 +0000 2025,0,False,False
https://x.com/Fallzhrani/status/1987561138926579734,https://twitter.com/Fallzhrani/status/1987561138926579734,1987561138926579734,طيب والله فضيحة لو ماحسبها بلنتي,0,0,0,0,Sun Nov 09 16:41:17 +0000 2025,0,False,False
https://x.com/ksa702aaa/status/1987531386413347295,https://twitter.com/ksa702aaa/status/1987531386413347295,1987531386413347295,كلب ومات,0,0,0,0,Sun Nov 09 14:43:03 +0000 2025,0,False,True
https://x.com/khaledbagasi/status/1987590464502108516,https://twitter.com/khaledbagasi/status/1987590464502108516,1987590464502108516,@magdi_khalil الخنزير مجدي خليل صليبي متعصب حاقد على أهل الإسلام.,0,0,0,0,Sun Nov 09 18:37:49 +0000 2025,0,False,False
https://x.com/srh1860337/status/1987589578211889385,https://twitter.com/srh1860337/status/1987589578211889385,1987589578211889385,@abdullh_132 كذاب اغلب البنات تحررو من النقاب و العبايات السوداء قسم بالله انك تضحك و ينشفق عليك احس عندك اوهام هههههههههههههه,0,0,0,0,Sun Nov 09 18:34:17 +0000 2025,0,False,False
https://x.com/ol_9q5/status/1987589540878471309,https://twitter.com/ol_9q5/status/1987589540878471309,1987589540878471309,كيمي يا ورع انقلع خل ماكس يعدي,0,0,0,0,Sun Nov 09 18:34:08 +0000 2025,0,False,False
https://x.com/Jamalalharbi_65/status/1987589358770348213,https://twitter.com/Jamalalharbi_65/status/1987589358770348213,1987589358770348213,@samerabdullah06 كل خرا يا كلب,0,1,0,0,Sun Nov 09 18:33:25 +0000 2025,0,False,False
https://x.com/kldlrty48190325/status/1987588023865725379,https://twitter.com/kldlrty48190325/status/1987588023865725379,1987588023865725379,@hamed4343 قسم انك حمار بيشة🦓🦓🤣🤣,0,0,1,0,Sun Nov 09 18:28:07 +0000 2025,0,False,False
